name,birthyear,
Andrew James Trischitta,1995
Andrew Stephan Pessoa,1995
Annie James Cyrus,1997
Nicholas Alexander Ko,1996
Ariel Winter Workman,1998
Ashley Boettcher,2000
Ashlyn Kohl Sanchez,1996
Adair Rae Tishler,1996
John Arvanitis,1994
Annabella Avery Thorne,1997
Benjamin James Stockham,2000
Rebecca Edison Taylor-Klaus,1994
Bobb'e Jacques Thompson,1996
Robert Moorhouse Coleman III,1997
Nils Allen Stewart Jr.,1994
Charlotte Frances McKane,1995
Keith Cozart,1995
Chloe Elizabeth Lukasiak,2001
Ciara Quinn Bravo,1997
Tyson Coy Stewart,1998
Olivia Irene Gonzales,1996
Daphne Louise Blunt,1997
Erica Lynn Parsons,1998
Dylan Joseph Cash,1994
Dylan Christopher Minnette,1996
Mary Elle Fanning,1998
Ellen Taylor Marlow,1994
Emily Evan Rae,1999
Emma Kenney,1999
Emma Tiger Schweiger,2002
E'Shun Palmer Melvin,2002
Evan James Talianko,1997
Gavin Powers MacIntosh,1999
Hayden Byerly,2000
Haley Lauren Moss,1994
Haley Alexis Pullos,1998
Ireland Eliesse Baldwin,1995
Joseph Gregory Wagner Luthman,1997
Jamie Herrell,1994
Jordan Romero,1996
Joseph Michael Castanon,1997
Joshua Alexander Flitter,1994
Joshua Browder,1996
Jackson Timothy Brundage,2001
Jacob Pavlovich Kogan,1995
Jacqueline Bonnell Marteau Emerson,1994
Jacob Cherry,1996
Kayden William Troff,1998
Jeffrey Kenton Duty,1995
Kiril Jacob Kulish,1994
Chrystal Soo Jung,1994
Kwesi Nii-Lante Boakye,1999
Lydia Grace Jordan,1994
Eleonora Pons Maronese,1996
Lewis,2001
Benjamin Flores Jr.,2002
Liliana Berry Davis Mumy,1994
Lily-Rose Melody Depp,1999
Lindsay Bushman,1994
Hope Elizabeth Soberano,1998
Logan West,1994
Mackenzie Elizabeth Aladjem,2001
Mackenzie Brooke Smith,2001
Madison Janis Leisle,1999
Madison Michelle Pettis,1998
Margaret Elizabeth Lindemann,1998
Michael Arthur Sayman,1996
Mary Matilyn Mouser,1996
Jaylen Ray Fryberg,1999
Morgan Lily Jane Gross,2000
Danielle Nicole van Dam,1994
Yehudah Kletzky,2002
Samantha Bree Runnion,1996
Nicholas Nip,1998
Nicholas John Robinson,1995
Noah Lindsey Cyrus,2000
Noah Andrew Ringer,1996
Pavlina Jaine Francis Osta,1997
Robert Capron Jr.,1998
Rachel Giana Fox,1996
Shane F. Baumel,1997
Sophia Elizabeth Gennusa,2003
Spencir Todd Bridges,1998
Sterling Martin Beaumon,1995
Samantha Joann Boscarino,1994
Phoebe Nora Mary Prince,1994
Anthony Quinonez,1996
Ty Keegan Simpkins,2001
Tanveer Kaur Atwal,1994
Victory Van Tuyl,1995
Zachary Adam Gordon,1998
Zane Alexander Huett,1997
Zoey Francis Thompson Deutch,1994
Angela Gregory,1903
Anna Wilhelmine Gmeyner,1902
Anna Marie Lederer,1902
Alexander Manoogian,1901
Aleksandr Grigoryevich Barmin,1899
Alfred L. Kaskel,1901
Alfred Louis Werker,1896
Alice Dickerson,1902
Allie Edward Stakes Stephens,1900
William Boyd Allison Davis,1902
Archie Leroy Musick,1902
Lido Manetti,1899
Art Chester,1899
Arthur Auerbach,1903
Aaron Richmond,1895
Alan William Napier-Clavering,1903
Benjamin Franklin Robertson Jr.,1903
Benjamin Albert Botkin,1901
Benjamin David Allen,1903
Benjamin Muse,1898
Benton Cordell Goodpasture,1895
Bernard A. Coyne,1897
Bernice Emerson,1899
Besse Berry Brown,1896
William Samuel Rosenberg,1899
Harry Lillis Crosby Jr.,1903
Blanche Dorothea Jones Calloway,1902
Blanche Beulah Revere,1902
Raymond Glenn,1898
Robert Collins Hoffman,1898
Josephine McLaughlin,1894
William Brian de Lacy Aherne,1902
Burton Yost Berry,1901
Charles (Tommy) W. Thomas,1903
Chester W. Schaeffer,1902
Charles Rutledge Johnson,1903
Clarke Blanchard Millikan,1903
Clementina Maria Anna Poto,1896
Clifford Judkins Durr,1899
Clinton Charles Sundberg,1903
Minnie Clyde Dixon,1901
Cornelius Packard Rhoads,1898
Kurt Bernhardt,1899
Carl James Berner,1902
Willy Eichberger,1902
Carlo Gambino,1902
Cecil H. Roy,1900
Charles Fred Lamont,1895
James David Buttolph Jr.,1902
David Selznick,1902
Delmer Lord,1894
Delma Dorothie Lowman,1897
Cornelius Coleridge Campbell,1903
Richard Lane,1899
Howard Rice,1896
Don Roe Pears,1899
Donald Fell Carpenter,1899
Donald Joseph McKay Russell,1900
Doris Frances Twitchell,1901
Dorothy Celeste Boulding,1898
Dorothy WeirWalker,1901
David Frederick Wingfield Verner,1894
Daisey Flowers,1896
Edward Vincent Sullivan,1901
Edith Rose,1903
Edmond Romulus Amateis,1897
Eduard Franz Schmidt,1902
Edward Joseph Thériault,1901
Elias Oberstein,1901
Elizabeth Parke,1897
Elizabeth Wood,1899
Ella Josephine Baker,1903
Ellen Marshall Semple,1899
Elmer Joseph Hoffman,1899
Elsa Sullivan Lanchester,1902
Edgar Blackburn Moore,1897
Ernest Fiene,1894
Esteban Vicente Pérez,1903
Catherine Newport,1901
Esther Elvira Holbeck,1901
Eunice Allen Lyons,1896
Irene Joy Gibbons,1895
Evelyn Jacobson,1899
Francis Hyman Criss,1901
Francesco Rosario Capra,1897
Francis D. Beadle,1899
Francis Curray McHugh,1898
Frank Joseph Zamboni Jr.,1901
Fred Chase Koch,1900
Nawavoy'ma,1900
Ernest Frederick McIntyre Bickel,1897
Frédérique Mayer,1903
Florence Winfrey,1896
Florence Leona Christie,1903
Florestine Marguerite Perrault,1895
