name,birthyear,
Amy Vanderbilt,1908
Andrée Ruellan,1905
Andrew Vabre Devine,1905
Angela Gregory,1903
Anita Evelyn Pomares,1910
Ann Corio,1909
Harriette Arlene Lake,1909
Anna Wilhelmine Gmeyner,1902
Anna Marie Lederer,1902
Annie Lee Crawford,1905
Emil Anton Bundesmann,1906
Albert Ernest Jenner Jr.,1907
Mosze Lifszyc,1908
Alexander Manoogian,1901
Alexander Sarruf,1908
Constantine Koutsoudis,1907
Alf Marinius Engen,1909
Alfred Josephon Marrow,1905
Alfred L. Kaskel,1901
Alice Dorothy Margaret Frost,1910
Alice Trumbull,1904
Alice Dickerson,1902
Alfred Cooke,1908
Allan Arthur Simpkins,1909
Theodore Allen Jones,1907
William Boyd Allison Davis,1902
Alvin Paul Kitchin,1908
Archie Leroy Musick,1902
Arlene Francis Kazanjian,1907
Arthur Boyd Hancock Jr.,1910
Arthur Goldberg,1910
Arthur McConnell Dollison,1909
Charles Arthur Space,1908
Arthur Auerbach,1903
Victor Miller,1908
Abraham Reles,1906
Abner Biberman,1909
Agnes Mongan,1905
Arthur Bernard Leaner,1908
Albert Rosen,1910
David Boughal,1909
Alan William Napier-Clavering,1903
Herbert Theodore Bergman,1907
Barrows Dunham,1905
Alice Beatrice Roberts,1905
William Beecher Moore,1908
Benjamin Franklin Robertson Jr.,1903
Benvenuta Rose Crooke,1910
Benjamin Albert Botkin,1901
Benjamin David Allen,1903
Philippine Amann,1905
William Nettles Goodwin,1910
Vladimir Peter Tytla,1904
Luigi Curto,1909
Harry Lillis Crosby Jr.,1903
Blanche Dorothea Jones Calloway,1902
Blanche Beulah Revere,1902
Walter Doane Randall Jr.,1909
Robert Leo Sheppard,1910
Robert Adrian Bradbury,1907
Boris Abelevich Kaufman,1906
William Brian de Lacy Aherne,1902
Clayton Johnson Heermance Jr.,1908
Christian Ludolf Ebsen Jr.,1908
Burton Yost Berry,1901
Morris Lerman,1910
Charles Poor Kindleberger II,1910
Charles (Tommy) W. Thomas,1903
Chester W. Schaeffer,1902
Charles Rutledge Johnson,1903
Claire Maybelle Snyder,1907
Clarence Melvin Zener,1905
Clarine Mildred Coffin,1910
Clarke Blanchard Millikan,1903
Clifford Donald Simak,1904
Clinton Charles Sundberg,1903
Carroll Burleigh Colby,1904
Minnie Clyde Dixon,1901
Constance Halverstadt,1910
Leonard Lionel Cornelius Canegata,1907
Carl James Berner,1902
Willy Eichberger,1902
Carleton Scott Young,1905
Carlo Gambino,1902
Carmen Celia Beltrán,1905
Camillo Galante,1910
Charles William Bolsius,1907
Charles Rolland Douglass,1910
Charles Garabedian,1909
James David Buttolph Jr.,1902
David Ezra Green,1910
David Selznick,1902
David Hardin Sharpe,1910
Cornelius Coleridge Campbell,1903
Richard James Lundy,1907
Richard Gerald Purcell Jr.,1908
James Harrison Wilson Thompson,1906
Donald Covey Naylor,1910
Ernest Raymond Beaumont Gantt,1907
Donald Worthington Reynolds,1906
Doris Frances Twitchell,1901
Dorothy Burnett,1905
Dorothea J. Seltzer,1906
Dorothy M. Spencer,1909
Dorothy WeirWalker,1901
William Henry Mesenkop,1910
Spencer Douglass Crockwell,1904
Salim Moussa Achi,1909
Charles Everest Sinsabaugh,1908
Renault Renaldo Duncan,1904
Edward Vincent Sullivan,1901
Edgar Dean Glosup,1907
Edward Francis Tamblyn,1908
Edgar Domingo Evia y Joutard,1910
Edith Rose,1903
Eduard Franz Schmidt,1902
Edward Joseph Thériault,1901
Edward V. Ramage,1908
Edwin Scheier,1910
Eleanor Guilfoyle,1907
Elias Oberstein,1901
Ella Josephine Baker,1903
Elsa Sullivan Lanchester,1902
Harvey Earl Wilson,1907
Edward Nicholas Cole,1909
Esteban Vicente Pérez,1903
Catherine Newport,1901
Esther Elvira Holbeck,1901
Ethel Agnes Zimmermann,1908
Eugenia M. Clinchard,1904
Maude Evangeline Rasmuson,1906
Evelyn Gentry,1907
Francis Hyman Criss,1901
Frank Reppy Wilcox,1907
Frank Joseph Zamboni Jr.,1901
Frederick Braue,1906
Isadore Freleng,1906
Frédérique Mayer,1903
Fay Christina Morgan Taylor,1909
Florence Leona Christie,1903
David Ford Bond,1904
Ford Rainey,1908
Forrest Edward Mars,1904
Frances Rappaport,1907
Frances Tuckerman Freeman,1910
Frank James Cooper,1901
Gladys Johnson,1901
Victor Eugene James Malinovsky,1908
Eugene Oliver Edgar Stutenroth,1903
Gerschon Lichtenstein,1903
George Booth Root III,1906
Gertrude Lightstone,1907
Regina Klopfer,1903
Glenn Everett Riggs,1907
Maria Mercedes Morgan,1904
Gloria Stewart,1910
Gordon A. Alles,1901
Gordon Evans Dean,1905
Gordon Franklin Marsh,1908
Greta Lovisa Gustafsson,1905
Grethe Rüzt-Nissen,1906
August Schilling,1908
William Guy Banister,1901
Guy R. Brewer,1904
Chaim A. Yablonik,1903
Herschel Lynn Greer,1906
